order,feature,cell_type
43,ATAC__CD4_Naïve__chr6:149508437-149508938,CD4_Naïve
44,ATAC__CD4_Naïve__chr10:33150816-33151317,CD4_Naïve
45,ATAC__CD8_Tem__chr7:142784658-142785159,CD8_Tem
46,ATAC__CD4_Naïve__chr3:174440632-174441133,CD4_Naïve
47,ATAC__CD4_Naïve__chr17:82909330-82909831,CD4_Naïve
48,ATAC__CD8_Tem__chr16:89256820-89257321,CD8_Tem
49,ATAC__CD4_Naïve__chr8:81569178-81569679,CD4_Naïve
50,ATAC__CD8_Tem__chr5:108380523-108381024,CD8_Tem
51,ATAC__CD4_Naïve__chr7:2019766-2020267,CD4_Naïve
52,ATAC__CD4_Naïve__chr19:5130486-5130987,CD4_Naïve
53,ATAC__CD4_Naïve__chr10:104935591-104936092,CD4_Naïve
54,ATAC__CD4_Naïve__chr1:240666506-240667007,CD4_Naïve
55,ATAC__CD4_Naïve__chr5:111757570-111758071,CD4_Naïve
56,ATAC__γδT2__chr16:82651819-82652320,γδT2
57,ATAC__CD4_Naïve__chr7:130938499-130939000,CD4_Naïve
58,ATAC__CD4_Naïve__chr3:42638285-42638786,CD4_Naïve
59,ATAC__CD4_Naïve__chr2:147293897-147294398,CD4_Naïve
60,ATAC__CD4_Naïve__chr17:74283004-74283505,CD4_Naïve
61,ATAC__CD4_Naïve__chr19:39719344-39719845,CD4_Naïve
62,ATAC__DC__chr1:207822598-207823099,DC
63,ATAC__CD8_Tem__chr1:92784924-92785425,CD8_Tem
64,ATAC__CD4_Naïve__chr20:25259797-25260298,CD4_Naïve
65,ATAC__CD4_Naïve__chr1:206589982-206590483,CD4_Naïve
66,ATAC__CD4_Naïve__chr5:152113352-152113853,CD4_Naïve
67,ATAC__CD8_Tem__chr16:2841861-2842362,CD8_Tem
68,ATAC__CD4_Naïve__chr2:216693044-216693545,CD4_Naïve
69,ATAC__cMono__chr1:207822598-207823099,cMono
70,ATAC__CD4_Naïve__chr10:31321353-31321854,CD4_Naïve
71,ATAC__CD4_Naïve__chr14:59919853-59920354,CD4_Naïve
72,ATAC__CD4_Naïve__chr22:20810539-20811040,CD4_Naïve
73,ATAC__CD4_Naïve__chr10:34251136-34251637,CD4_Naïve
74,ATAC__CD8_Tem__chr20:51493401-51493902,CD8_Tem
75,ATAC__CD4_Naïve__chr8:38362562-38363063,CD4_Naïve
76,ATAC__CD4_Naïve__chr10:3811363-3811864,CD4_Naïve
77,ATAC__CD8_Tem__chr15:31265552-31266053,CD8_Tem
78,ATAC__CD4_Tcm__chr16:68235968-68236469,CD4_Tcm
79,ATAC__CD4_Naïve__chr1:152392768-152393269,CD4_Naïve
80,ATAC__CD4_Naïve__chr2:38682057-38682558,CD4_Naïve
81,ATAC__CD4_Helper__chr2:105837034-105837535,CD4_Helper
82,ATAC__CD4_Naïve__chr1:109397791-109398292,CD4_Naïve
83,ATAC__Prolif.T__chr19:2476382-2476883,Prolif.T
84,ATAC__CD4_Tcm__chr16:89548998-89549499,CD4_Tcm
85,ATAC__CD8_Tem__chr11:124920707-124921208,CD8_Tem
86,ATAC__CD4_Naïve__chr17:75242296-75242797,CD4_Naïve
87,ATAC__CD4_Naïve__chr20:52972124-52972625,CD4_Naïve
88,ATAC__CD4_Naïve__chr5:132020138-132020639,CD4_Naïve
89,ATAC__CD4_Naïve__chr16:88470208-88470709,CD4_Naïve
90,ATAC__CD8_Tem__chr19:2476382-2476883,CD8_Tem
91,ATAC__CD4_Naïve__chr9:92664649-92665150,CD4_Naïve
92,ATAC__CD4_Naïve__chr16:10964747-10965248,CD4_Naïve
93,ATAC__CD8_Tem__chr8:144687686-144688187,CD8_Tem
94,ATAC__CD4_Naïve__chr20:51480569-51481070,CD4_Naïve
95,ATAC__CD8_CTL__chr6:80454172-80454673,CD8_CTL
96,ATAC__CD4_Tcm__chr16:29827062-29827563,CD4_Tcm
97,ATAC__CD8_Tem__chr3:4868806-4869307,CD8_Tem
98,ATAC__CD8_Tem__chr19:19540346-19540847,CD8_Tem
99,ATAC__γδT2__chr1:210332783-210333284,γδT2
100,ATAC__CD4_Naïve__chr15:91336646-91337147,CD4_Naïve
101,ATAC__CD4_Tcm__chr1:227774038-227774539,CD4_Tcm
102,ATAC__CD4_Naïve__chr2:213157256-213157757,CD4_Naïve
103,ATAC__CD4_Tcm__chr4:74632586-74633087,CD4_Tcm
104,ATAC__CD4_Naïve__chr17:76063807-76064308,CD4_Naïve
105,ATAC__CD4_Helper__chr1:237736674-237737175,CD4_Helper
106,ATAC__CD8_CTL__chr9:127927318-127927819,CD8_CTL
107,ATAC__CD4_Naïve__chrX:69615697-69616198,CD4_Naïve
108,ATAC__CD4_Naïve__chr9:37529106-37529607,CD4_Naïve
109,ATAC__CD4_Naïve__chrX:85243747-85244248,CD4_Naïve
110,ATAC__CD4_Naïve__chr6:21883469-21883970,CD4_Naïve
111,ATAC__CD4_Naïve__chr4:69661057-69661558,CD4_Naïve
112,ATAC__CD4_Tcm__chr11:95688395-95688896,CD4_Tcm
113,ATAC__CD4_Naïve__chr2:147288096-147288597,CD4_Naïve
114,ATAC__CD8_CTL__chr11:124920707-124921208,CD8_CTL
115,ATAC__CD4_Naïve__chr3:15347368-15347869,CD4_Naïve
116,ATAC__CD4_Naïve__chr5:68275259-68275760,CD4_Naïve
117,ATAC__CD8_Tem__chr5:170275277-170275778,CD8_Tem
118,ATAC__CD4_Naïve__chr10:14599097-14599598,CD4_Naïve
119,ATAC__CD4_Naïve__chr4:2297664-2298165,CD4_Naïve
120,ATAC__CD8_Tem__chr21:46304854-46305355,CD8_Tem
121,ATAC__CD4_Naïve__chr16:84765855-84766356,CD4_Naïve
122,ATAC__CD4_Treg__chr1:240576164-240576665,CD4_Treg
123,ATAC__CD8_Tem__chr11:65880909-65881410,CD8_Tem
124,ATAC__CD4_Naïve__chr1:57307343-57307844,CD4_Naïve
125,ATAC__CD4_Naïve__chr4:2172761-2173262,CD4_Naïve
126,ATAC__CD4_Naïve__chr8:59107694-59108195,CD4_Naïve
127,ATAC__CD4_Tcm__chr4:108165518-108166019,CD4_Tcm
128,ATAC__CD4_Tcm__chr1:240666506-240667007,CD4_Tcm
129,ATAC__CD8_Tem__chr6:33432007-33432508,CD8_Tem
130,ATAC__CD4_Treg__chr1:240666506-240667007,CD4_Treg
131,ATAC__DC__chr14:105501639-105502140,DC
132,ATAC__CD4_Naïve__chr9:1366234-1366735,CD4_Naïve
133,ATAC__CD4_Tcm__chr7:39589687-39590188,CD4_Tcm
134,ATAC__γδT2__chr2:96594523-96595024,γδT2
135,ATAC__CD8_Tem__chr9:132670916-132671417,CD8_Tem
136,ATAC__CD4_Tcm__chr1:228212861-228213362,CD4_Tcm
137,ATAC__CD4_Naïve__chr9:117825893-117826394,CD4_Naïve
138,ATAC__γδT2__chr7:50316243-50316744,γδT2
139,ATAC__CD4_Helper__chr17:17177063-17177564,CD4_Helper
140,ATAC__γδT2__chr9:107410373-107410874,γδT2
141,ATAC__CD4_Naïve__chr19:50658021-50658522,CD4_Naïve
142,ATAC__CD4_Tcm__chr12:74900202-74900703,CD4_Tcm
143,ATAC__CD4_Naïve__chr10:22246875-22247376,CD4_Naïve
144,ATAC__CD8_Tem__chr20:32482584-32483085,CD8_Tem
145,ATAC__CD4_Naïve__chr19:11092114-11092615,CD4_Naïve
146,ATAC__CD4_Naïve__chr16:56262103-56262604,CD4_Naïve
147,ATAC__CD4_Naïve__chr18:2644476-2644977,CD4_Naïve
148,ATAC__CD4_Tcm__chr15:91320044-91320545,CD4_Tcm
149,ATAC__Prolif.T__chr20:62007054-62007555,Prolif.T
150,ATAC__CD4_Naïve__chr9:16179535-16180036,CD4_Naïve
151,ATAC__CD8_Tem__chr12:121537054-121537555,CD8_Tem
152,ATAC__CD8_Tem__chr5:178590159-178590660,CD8_Tem
153,ATAC__γδT2__chr21:46537154-46537655,γδT2
154,ATAC__CD4_Tcm__chr8:89765748-89766249,CD4_Tcm
155,ATAC__CD8_Tem__chr8:2127257-2127758,CD8_Tem
156,ATAC__CD4_Naïve__chr6:155171114-155171615,CD4_Naïve
157,ATAC__CD4_Naïve__chr13:20160874-20161375,CD4_Naïve
158,ATAC__CD4_Tcm__chr8:121348715-121349216,CD4_Tcm
159,ATAC__CD4_Tcm__chr2:174902454-174902955,CD4_Tcm
160,ATAC__Transit.NK__chr16:2294984-2295485,Transit.NK
161,ATAC__CD4_Tcm__chr10:65501140-65501641,CD4_Tcm
162,ATAC__CD8_Tem__chr22:43923505-43924006,CD8_Tem
163,ATAC__CD4_Naïve__chr5:172180883-172181384,CD4_Naïve
164,ATAC__Prolif.T__chr1:181090013-181090514,Prolif.T
165,ATAC__CD4_Naïve__chr5:172918996-172919497,CD4_Naïve
166,ATAC__CD4_Tcm__chr8:81569178-81569679,CD4_Tcm
167,ATAC__DC__chr16:30728727-30729228,DC
168,ATAC__CD8_CTL__chr1:227934762-227935263,CD8_CTL
169,ATAC__CD4_Tcm__chr10:6083692-6084193,CD4_Tcm
170,ATAC__CD4_Naïve__chr6:11728328-11728829,CD4_Naïve
171,ATAC__CD4_Naïve__chr4:98688915-98689416,CD4_Naïve
172,ATAC__NKbright__chr11:19970800-19971301,NKbright
173,ATAC__CD4_Naïve__chr9:114718773-114719274,CD4_Naïve
174,ATAC__CD4_Tcm__chr3:71415610-71416111,CD4_Tcm
175,ATAC__CD4_Naïve__chrX:119885855-119886356,CD4_Naïve
176,ATAC__CD4_Naïve__chr22:39993947-39994448,CD4_Naïve
177,ATAC__CD8_Tem__chr6:33430890-33431391,CD8_Tem
178,ATAC__CD8_Tem__chr2:96869829-96870330,CD8_Tem
179,ATAC__CD8_CTL__chr1:228212861-228213362,CD8_CTL
180,ATAC__CD4_Tcm__chr4:108107975-108108476,CD4_Tcm
181,ATAC__CD8_Tem__chr1:1000639-1001140,CD8_Tem
182,ATAC__CD4_Naïve__chr8:141244797-141245298,CD4_Naïve
183,ATAC__CD4_Helper__chr1:240666506-240667007,CD4_Helper
184,ATAC__CD4_Naïve__chr12:22396289-22396790,CD4_Naïve
185,ATAC__CD8_Tem__chr19:18430046-18430547,CD8_Tem
186,ATAC__γδT2__chr3:43016877-43017378,γδT2
187,ATAC__CD4_Naïve__chr8:133303090-133303591,CD4_Naïve
188,ATAC__CD8_CTL__chr4:141307199-141307700,CD8_CTL
189,ATAC__CD4_Naïve__chr4:74099080-74099581,CD4_Naïve
190,ATAC__CD4_Naïve__chr6:149485267-149485768,CD4_Naïve
191,ATAC__CD8_Tem__chr5:127030978-127031479,CD8_Tem
192,ATAC__CD4_Tcm__chr22:36830545-36831046,CD4_Tcm
193,ATAC__CD8_CTL__chr1:193569641-193570142,CD8_CTL
194,ATAC__CD4_Treg__chr13:50914816-50915317,CD4_Treg
195,ATAC__CD8_Tem__chr22:47090904-47091405,CD8_Tem
196,ATAC__CD4_Naïve__chr9:135701389-135701890,CD4_Naïve
197,ATAC__CD4_Naïve__chr10:116147491-116147992,CD4_Naïve
198,ATAC__CD8_Tem__chr1:182614791-182615292,CD8_Tem
199,ATAC__CD4_Tcm__chr2:230254515-230255016,CD4_Tcm
200,ATAC__CD4_Naïve__chr2:110847012-110847513,CD4_Naïve
201,ATAC__CD8_Tem__chr16:27313694-27314195,CD8_Tem
202,ATAC__CD4_Tcm__chr2:68427190-68427691,CD4_Tcm
203,ATAC__CD4_Helper__chr8:121822705-121823206,CD4_Helper
204,ATAC__cMono__chr1:31937578-31938079,cMono
205,ATAC__CD4_Tcm__chr17:64929710-64930211,CD4_Tcm
206,ATAC__CD8_CTL__chr17:76681640-76682141,CD8_CTL
207,ATAC__CD8_CTL__chr4:101039315-101039816,CD8_CTL
208,ATAC__CD8_Tem__chr1:241639527-241640028,CD8_Tem
209,ATAC__CD4_Treg__chr15:87597630-87598131,CD4_Treg
210,ATAC__CD4_Tcm__chrX:106607982-106608483,CD4_Tcm
211,ATAC__CD8_CTL__chr2:142868150-142868651,CD8_CTL
212,ATAC__CD4_Tcm__chr18:77102504-77103005,CD4_Tcm
213,ATAC__CD8_Tem__chr15:28832002-28832503,CD8_Tem
214,ATAC__CD8_CTL__chrX:78651078-78651579,CD8_CTL
215,ATAC__CD4_Tcm__chr14:31947683-31948184,CD4_Tcm
216,ATAC__CD8_Tem__chr16:53131466-53131967,CD8_Tem
217,ATAC__CD4_Helper__chr10:3775228-3775729,CD4_Helper
218,ATAC__Prolif.T__chr19:38684343-38684844,Prolif.T
219,ATAC__CD4_Tcm__chr12:92297847-92298348,CD4_Tcm
220,ATAC__DC__chr5:150396132-150396633,DC
221,ATAC__CD4_Naïve__chr2:100924656-100925157,CD4_Naïve
222,ATAC__cMono__chr7:2540648-2541149,cMono
223,ATAC__CD4_Tcm__chr3:114285642-114286143,CD4_Tcm
224,ATAC__CD8_CTL__chr7:2851373-2851874,CD8_CTL
225,ATAC__CD4_Naïve__chr7:25028577-25029078,CD4_Naïve
226,ATAC__γδT2__chr14:90368886-90369387,γδT2
