order,feature,cell_type
37,ATAC__CD8_CTL__chr1:228212861-228213362,CD8_CTL
38,ATAC__CD4_Naïve__chr22:20810539-20811040,CD4_Naïve
39,ATAC__CD4_Naïve__chr3:196803806-196804307,CD4_Naïve
40,ATAC__CD4_Naïve__chr4:69661057-69661558,CD4_Naïve
41,ATAC__CD4_Naïve__chr3:42638285-42638786,CD4_Naïve
42,ATAC__CD4_Naïve__chrY:19077272-19077773,CD4_Naïve
43,ATAC__CD4_Naïve__chr1:64506211-64506712,CD4_Naïve
44,ATAC__CD4_Helper__chr10:104935591-104936092,CD4_Helper
45,ATAC__Naïve_B__chr9:105500349-105500850,Naïve_B
46,ATAC__CD4_Tcm__chr1:240666506-240667007,CD4_Tcm
47,ATAC__CD4_Naïve__chr11:95688395-95688896,CD4_Naïve
48,ATAC__CD4_Naïve__chr12:22396289-22396790,CD4_Naïve
49,ATAC__CD4_Naïve__chr7:99372807-99373308,CD4_Naïve
50,ATAC__CD4_Naïve__chr16:70736938-70737439,CD4_Naïve
51,ATAC__immature_T__chr3:15801228-15801729,immature_T
52,ATAC__CD4_Naïve__chr2:213151630-213152131,CD4_Naïve
53,ATAC__CD4_Naïve__chr2:172970657-172971158,CD4_Naïve
54,ATAC__CD4_Naïve__chr11:35343138-35343639,CD4_Naïve
55,ATAC__CD4_Naïve__chr15:31357094-31357595,CD4_Naïve
56,ATAC__CD4_Naïve__chr4:140049174-140049675,CD4_Naïve
57,ATAC__CD4_Naïve__chr1:237736674-237737175,CD4_Naïve
58,ATAC__CD8_Tem__chr2:98479897-98480398,CD8_Tem
59,ATAC__CD8_Tem__chr10:132387837-132388338,CD8_Tem
60,ATAC__CD8_CTL__chr22:37696665-37697166,CD8_CTL
61,ATAC__CD4_Naïve__chr3:124584194-124584695,CD4_Naïve
62,ATAC__CD4_Naïve__chr14:98103641-98104142,CD4_Naïve
63,ATAC__CD4_Naïve__chr10:110868937-110869438,CD4_Naïve
64,ATAC__CD4_Naïve__chr14:106276293-106276794,CD4_Naïve
65,ATAC__CD4_Naïve__chr18:9083747-9084248,CD4_Naïve
66,ATAC__CD4_Naïve__chr10:110834806-110835307,CD4_Naïve
67,ATAC__CD4_Naïve__chr2:147449361-147449862,CD4_Naïve
68,ATAC__CD4_Naïve__chr7:36777787-36778288,CD4_Naïve
69,ATAC__CD4_Naïve__chr14:35367644-35368145,CD4_Naïve
70,ATAC__CD4_Tcm__chr3:95721862-95722363,CD4_Tcm
71,ATAC__CD4_Naïve__chr5:124162761-124163262,CD4_Naïve
72,ATAC__CD4_Naïve__chr20:52975263-52975764,CD4_Naïve
73,ATAC__CD8_Tem__chr2:105398841-105399342,CD8_Tem
74,ATAC__CD4_Helper__chr1:237736674-237737175,CD4_Helper
75,ATAC__CD4_Naïve__chr8:133303090-133303591,CD4_Naïve
76,ATAC__CD4_Naïve__chr10:3852232-3852733,CD4_Naïve
77,ATAC__CD4_Tcm__chr8:47680370-47680871,CD4_Tcm
78,ATAC__CD4_Naïve__chr14:31944948-31945449,CD4_Naïve
79,ATAC__CD4_Naïve__chr16:84765855-84766356,CD4_Naïve
80,ATAC__CD4_Naïve__chr18:79914046-79914547,CD4_Naïve
81,ATAC__CD4_Naïve__chr9:1366234-1366735,CD4_Naïve
82,ATAC__CD4_Naïve__chr8:81028152-81028653,CD4_Naïve
83,ATAC__CD8_CTL__chr20:20207781-20208282,CD8_CTL
84,ATAC__CD4_Naïve__chr6:33668883-33669384,CD4_Naïve
85,ATAC__CD4_Tcm__chr16:16041110-16041611,CD4_Tcm
86,ATAC__CD8_Tem__chr9:136438756-136439257,CD8_Tem
87,ATAC__CD8_CTL__chr16:89256820-89257321,CD8_CTL
88,ATAC__CD8_Tem__chr17:82583620-82584121,CD8_Tem
89,ATAC__CD8_Tem__chr1:10495891-10496392,CD8_Tem
90,ATAC__CD4_Naïve__chr6:21596652-21597153,CD4_Naïve
91,ATAC__immature_T__chr14:89283316-89283817,immature_T
92,ATAC__CD8_CTL__chr2:239625808-239626309,CD8_CTL
93,ATAC__CD4_Tcm__chr5:56190455-56190956,CD4_Tcm
94,ATAC__immature_T__chr6:24858129-24858630,immature_T
95,ATAC__CD4_Naïve__chr19:19032332-19032833,CD4_Naïve
96,ATAC__CD4_Naïve__chr9:81002195-81002696,CD4_Naïve
97,ATAC__CD4_Naïve__chr4:123599860-123600361,CD4_Naïve
98,ATAC__CD4_Naïve__chr2:241541075-241541576,CD4_Naïve
99,ATAC__immature_T__chr1:53509219-53509720,immature_T
100,ATAC__CD4_Naïve__chr1:30952032-30952533,CD4_Naïve
101,ATAC__CD4_Naïve__chr13:28494952-28495453,CD4_Naïve
102,ATAC__CD4_Tcm__chr15:41513646-41514147,CD4_Tcm
103,ATAC__CD4_Naïve__chr22:37237824-37238325,CD4_Naïve
104,ATAC__immature_T__chr8:128574390-128574891,immature_T
105,ATAC__CD4_Naïve__chr19:5130486-5130987,CD4_Naïve
106,ATAC__CD4_Naïve__chr2:2057070-2057571,CD4_Naïve
107,ATAC__CD4_Naïve__chr8:101155772-101156273,CD4_Naïve
108,ATAC__CD4_Naïve__chr1:9561403-9561904,CD4_Naïve
109,ATAC__CD4_Helper__chr2:64025725-64026226,CD4_Helper
110,ATAC__CD4_Naïve__chr15:91472159-91472660,CD4_Naïve
111,ATAC__Prolif.T__chr17:35536544-35537045,Prolif.T
112,ATAC__CD8_CTL__chr5:151211692-151212193,CD8_CTL
113,ATAC__CD4_Naïve__chr1:64469926-64470427,CD4_Naïve
114,ATAC__CD8_CTL__chr5:115333112-115333613,CD8_CTL
115,ATAC__CD4_Naïve__chr4:163895371-163895872,CD4_Naïve
116,ATAC__CD4_Tcm__chr7:39589687-39590188,CD4_Tcm
117,ATAC__CD4_Naïve__chr14:52352070-52352571,CD4_Naïve
118,ATAC__CD8_CTL__chr17:81481262-81481763,CD8_CTL
119,ATAC__CD4_Tcm__chr4:163895371-163895872,CD4_Tcm
120,ATAC__Prolif.T__chr14:24080949-24081450,Prolif.T
121,ATAC__CD4_Naïve__chr10:33134044-33134545,CD4_Naïve
122,ATAC__CD8_CTL__chr1:210340733-210341234,CD8_CTL
123,ATAC__CD4_Naïve__chr7:6530997-6531498,CD4_Naïve
124,ATAC__CD8_CTL__chr17:1115003-1115504,CD8_CTL
125,ATAC__CD4_Naïve__chr17:3916326-3916827,CD4_Naïve
126,ATAC__CD4_Naïve__chr15:87681011-87681512,CD4_Naïve
127,ATAC__immature_T__chr1:227748425-227748926,immature_T
128,ATAC__CD4_Naïve__chr7:80151257-80151758,CD4_Naïve
129,ATAC__CD8_Tem__chr19:3285039-3285540,CD8_Tem
130,ATAC__CD4_Naïve__chr12:12474838-12475339,CD4_Naïve
131,ATAC__CD8_Tem__chr15:77010820-77011321,CD8_Tem
132,ATAC__immature_T__chr2:24517237-24517738,immature_T
133,ATAC__CD4_Naïve__chr18:55534485-55534986,CD4_Naïve
134,ATAC__CD8_Tem__chr17:81481262-81481763,CD8_Tem
135,ATAC__CD4_Naïve__chr2:19971664-19972165,CD4_Naïve
136,ATAC__CD4_Tcm__chr1:201468994-201469495,CD4_Tcm
137,ATAC__CD4_Naïve__chr10:119663801-119664302,CD4_Naïve
138,ATAC__CD8_CTL__chr5:74889635-74890136,CD8_CTL
139,ATAC__CD4_Naïve__chr10:99994236-99994737,CD4_Naïve
140,ATAC__immature_T__chr7:106009367-106009868,immature_T
141,ATAC__CD8_Tem__chr2:46979564-46980065,CD8_Tem
142,ATAC__CD4_Naïve__chr3:170223219-170223720,CD4_Naïve
143,ATAC__CD8_CTL__chr15:86611605-86612106,CD8_CTL
144,ATAC__immature_T__chr17:1751609-1752110,immature_T
145,ATAC__CD4_Naïve__chr4:155758700-155759201,CD4_Naïve
146,ATAC__CD8_Tem__chr16:57128685-57129186,CD8_Tem
147,ATAC__immature_T__chr12:1915605-1916106,immature_T
148,ATAC__CD8_CTL__chr2:147288096-147288597,CD8_CTL
149,ATAC__CD4_Naïve__chr19:20482686-20483187,CD4_Naïve
150,ATAC__CD4_Treg__chr3:158641843-158642344,CD4_Treg
151,ATAC__CD4_Naïve__chr20:52973074-52973575,CD4_Naïve
152,ATAC__immature_T__chr1:234230448-234230949,immature_T
153,ATAC__CD4_Tcm__chr8:127169865-127170366,CD4_Tcm
154,ATAC__Prolif.T__chr6:75781766-75782267,Prolif.T
155,ATAC__CD4_Tcm__chr3:10603379-10603880,CD4_Tcm
156,ATAC__CD8_Tem__chr2:134118213-134118714,CD8_Tem
157,ATAC__CD8_Tem__chr19:43639915-43640416,CD8_Tem
158,ATAC__immature_T__chr17:68265412-68265913,immature_T
159,ATAC__CD4_Tcm__chr13:51942063-51942564,CD4_Tcm
160,ATAC__NKbright__chr14:100393770-100394271,NKbright
161,ATAC__CD8_Tem__chr11:114082718-114083219,CD8_Tem
162,ATAC__CD8_CTL__chr7:130990393-130990894,CD8_CTL
163,ATAC__CD8_Tem__chr1:6459704-6460205,CD8_Tem
164,ATAC__immature_T__chr20:54063874-54064375,immature_T
165,ATAC__CD4_Naïve__chr9:38620771-38621272,CD4_Naïve
166,ATAC__CD4_Helper__chr11:95443354-95443855,CD4_Helper
167,ATAC__CD8_CTL__chr16:47141634-47142135,CD8_CTL
168,ATAC__CD8_CTL__chr1:199168842-199169343,CD8_CTL
169,ATAC__CD4_Naïve__chrY:3527013-3527514,CD4_Naïve
170,ATAC__CD8_Tem__chr17:5500922-5501423,CD8_Tem
171,ATAC__Prolif.T__chr14:50830421-50830922,Prolif.T
172,ATAC__Prolif.T__chr6:157764410-157764911,Prolif.T
173,ATAC__CD4_Naïve__chr17:59853180-59853681,CD4_Naïve
174,ATAC__CD4_Tcm__chr2:206536929-206537430,CD4_Tcm
175,ATAC__CD8_CTL__chr1:226002038-226002539,CD8_CTL
176,ATAC__CD4_Tcm__chr8:81569178-81569679,CD4_Tcm
177,ATAC__CD4_Helper__chr1:45163184-45163685,CD4_Helper
178,ATAC__CD4_Tcm__chr8:89243511-89244012,CD4_Tcm
179,ATAC__CD4_Naïve__chr13:29080981-29081482,CD4_Naïve
180,ATAC__CD4_Tcm__chr5:75059838-75060339,CD4_Tcm
181,ATAC__CD4_Helper__chr2:147297750-147298251,CD4_Helper
182,ATAC__cMono__chr11:62105036-62105537,cMono
183,ATAC__CD4_Naïve__chr10:101012783-101013284,CD4_Naïve
184,ATAC__cMono__chr19:47430017-47430518,cMono
185,ATAC__CD8_Tem__chr1:26723515-26724016,CD8_Tem
186,ATAC__CD8_Tem__chr17:29591587-29592088,CD8_Tem
187,ATAC__CD8_Tem__chr1:27527049-27527550,CD8_Tem
188,ATAC__CD4_Tcm__chr10:62690617-62691118,CD4_Tcm
189,ATAC__Naïve_B__chr2:10044307-10044808,Naïve_B
190,ATAC__Naïve_B__chr17:81119557-81120058,Naïve_B
191,ATAC__CD4_Naïve__chr3:45892649-45893150,CD4_Naïve
192,ATAC__Transit.NK__chr16:74700397-74700898,Transit.NK
193,ATAC__CD4_Naïve__chr20:52974116-52974617,CD4_Naïve
194,ATAC__CD4_Naïve__chr7:130986125-130986626,CD4_Naïve
195,ATAC__CD4_Tcm__chr14:65927857-65928358,CD4_Tcm
196,ATAC__CD4_Naïve__chr13:99422116-99422617,CD4_Naïve
197,ATAC__immature_T__chr17:20797254-20797755,immature_T
198,ATAC__immature_T__chr6:168909246-168909747,immature_T
199,ATAC__CD8_Tem__chr17:58657959-58658460,CD8_Tem
200,ATAC__CD8_CTL__chr3:99875937-99876438,CD8_CTL
201,ATAC__CD8_Tem__chr2:25313160-25313661,CD8_Tem
202,ATAC__CD4_Helper__chr1:240666506-240667007,CD4_Helper
203,ATAC__CD8_Tem__chr10:29539977-29540478,CD8_Tem
204,ATAC__CD8_Tem__chr19:17606084-17606585,CD8_Tem
205,ATAC__CD4_Tcm__chr5:139637319-139637820,CD4_Tcm
206,ATAC__CD8_Tem__chr7:69062383-69062884,CD8_Tem
207,ATAC__CD4_Naïve__chr2:38587669-38588170,CD4_Naïve
208,ATAC__CD8_Tem__chr16:89099911-89100412,CD8_Tem
209,ATAC__CD4_Naïve__chr3:192917717-192918218,CD4_Naïve
210,ATAC__CD8_Naïve__chr20:62805213-62805714,CD8_Naïve
211,ATAC__CD8_CTL__chr12:48977741-48978242,CD8_CTL
212,ATAC__CD8_Tem__chr17:7477501-7478002,CD8_Tem
213,ATAC__CD4_Tcm__chr20:52975263-52975764,CD4_Tcm
214,ATAC__Prolif.T__chr20:24108994-24109495,Prolif.T
215,ATAC__CD4_Tcm__chr11:11621877-11622378,CD4_Tcm
216,ATAC__CD4_Naïve__chr22:26596984-26597485,CD4_Naïve
217,ATAC__immature_T__chr15:69720547-69721048,immature_T
218,ATAC__CD4_Tcm__chr15:91320044-91320545,CD4_Tcm
219,ATAC__CD4_Helper__chr16:16025131-16025632,CD4_Helper
220,ATAC__CD8_CTL__chr15:93152177-93152678,CD8_CTL
221,ATAC__Prolif.T__chr17:81119557-81120058,Prolif.T
222,ATAC__CD4_Helper__chr7:3120438-3120939,CD4_Helper
223,ATAC__CD4_Tcm__chr12:4506814-4507315,CD4_Tcm
224,ATAC__immature_T__chr2:101716202-101716703,immature_T
225,ATAC__CD4_Naïve__chr20:45407655-45408156,CD4_Naïve
226,ATAC__immature_T__chr19:49546934-49547435,immature_T
227,ATAC__CD8_Tem__chr20:51494165-51494666,CD8_Tem
