sample_id,age_numeric,sex,dataset,n_cells,n_cell_types,age_bin,strat_age_sex,split,benchmark_split,sealed
CIMA_H258,29.0,female,CIMA_multiome,7141,20,2,2__female,train,train,False
CIMA_H261,29.0,female,CIMA_multiome,7149,19,2,2__female,valid,sealed_test,True
CIMA_H265,27.0,female,CIMA_multiome,8467,20,1,1__female,valid,sealed_test,True
CIMA_H266,26.0,female,CIMA_multiome,8033,20,1,1__female,train,train,False
CIMA_H268,29.0,female,CIMA_multiome,5976,20,2,2__female,train,train,False
CIMA_H269,25.0,female,CIMA_multiome,7439,20,0,0__female,train,train,False
CIMA_H271,26.0,female,CIMA_multiome,7210,21,1,1__female,valid,sealed_test,True
CIMA_H272,27.0,female,CIMA_multiome,9267,20,1,1__female,valid,sealed_test,True
CIMA_H274,27.0,female,CIMA_multiome,5580,20,1,1__female,train,train,False
CIMA_H275,33.0,female,CIMA_multiome,7573,20,2,2__female,train,train,False
CIMA_H276,21.0,female,CIMA_multiome,5365,20,0,0__female,train,train,False
CIMA_H277,22.0,female,CIMA_multiome,5246,20,0,0__female,train,train,False
CIMA_H278,28.0,female,CIMA_multiome,6056,20,1,1__female,valid,sealed_test,True
CIMA_H279,23.0,female,CIMA_multiome,6784,20,0,0__female,train,train,False
CIMA_H280,24.0,female,CIMA_multiome,7699,19,0,0__female,train,train,False
CIMA_H282,33.0,female,CIMA_multiome,5906,21,2,2__female,valid,sealed_test,True
CIMA_H283,26.0,female,CIMA_multiome,6469,19,1,1__female,valid,sealed_test,True
CIMA_H284,35.0,female,CIMA_multiome,6986,21,3,3__female,valid,sealed_test,True
CIMA_H285,30.0,female,CIMA_multiome,7941,21,2,2__female,train,train,False
CIMA_H293,23.0,female,CIMA_multiome,4281,21,0,0__female,valid,sealed_test,True
CIMA_H298,26.0,female,CIMA_multiome,5825,20,1,1__female,train,train,False
CIMA_H299,57.0,female,CIMA_multiome,5076,20,4,4__female,train,train,False
CIMA_H301,26.0,female,CIMA_multiome,2890,21,1,1__female,train,validation,False
CIMA_H302,29.0,female,CIMA_multiome,7288,20,2,2__female,train,train,False
CIMA_H304,25.0,female,CIMA_multiome,5090,20,0,0__female,valid,sealed_test,True
CIMA_H306,24.0,female,CIMA_multiome,5868,21,0,0__female,train,train,False
CIMA_H309,25.0,female,CIMA_multiome,6759,20,0,0__female,train,train,False
CIMA_H310,23.0,female,CIMA_multiome,7581,20,0,0__female,valid,sealed_test,True
CIMA_H311,28.0,female,CIMA_multiome,9604,21,1,1__female,train,train,False
CIMA_H312,25.0,female,CIMA_multiome,7667,20,0,0__female,train,train,False
CIMA_H314,36.0,female,CIMA_multiome,6210,20,3,3__female,valid,sealed_test,True
CIMA_H317,29.0,female,CIMA_multiome,5765,19,2,2__female,train,train,False
CIMA_H329,26.0,female,CIMA_multiome,5337,20,1,1__female,train,train,False
CIMA_H330,28.0,female,CIMA_multiome,5699,20,1,1__female,valid,sealed_test,True
CIMA_H331,59.0,female,CIMA_multiome,3928,21,4,4__female,train,train,False
CIMA_H335,28.0,female,CIMA_multiome,5630,20,1,1__female,train,train,False
CIMA_H336,32.0,female,CIMA_multiome,5284,20,2,2__female,train,train,False
CIMA_H337,35.0,female,CIMA_multiome,6571,20,3,3__female,train,train,False
CIMA_H339,27.0,female,CIMA_multiome,7117,20,1,1__female,train,train,False
CIMA_H340,28.0,female,CIMA_multiome,7812,20,1,1__female,train,validation,False
CIMA_H341,28.0,female,CIMA_multiome,3730,21,1,1__female,train,train,False
CIMA_H342,25.0,female,CIMA_multiome,3517,19,0,0__female,valid,sealed_test,True
CIMA_H343,27.0,female,CIMA_multiome,7656,21,1,1__female,valid,sealed_test,True
CIMA_H354,27.0,female,CIMA_multiome,3244,20,1,1__female,train,train,False
CIMA_H355,38.0,female,CIMA_multiome,2902,19,3,3__female,train,train,False
CIMA_H360,27.0,female,CIMA_multiome,5330,20,1,1__female,train,train,False
CIMA_H361,22.0,female,CIMA_multiome,1657,20,0,0__female,train,train,False
CIMA_H365,54.0,female,CIMA_multiome,6181,17,4,4__female,train,train,False
CIMA_H366,44.0,female,CIMA_multiome,5112,21,3,3__female,train,train,False
CIMA_H367,55.0,female,CIMA_multiome,7100,21,4,4__female,train,train,False
CIMA_H369,63.0,female,CIMA_multiome,5411,20,4,4__female,train,validation,False
CIMA_H370,41.0,female,CIMA_multiome,5479,20,3,3__female,valid,sealed_test,True
CIMA_H371,57.0,female,CIMA_multiome,5603,21,4,4__female,train,train,False
CIMA_H373,40.0,female,CIMA_multiome,6232,21,3,3__female,train,train,False
CIMA_H374,41.0,female,CIMA_multiome,6424,21,3,3__female,train,train,False
CIMA_H377,60.0,female,CIMA_multiome,4816,20,4,4__female,train,validation,False
CIMA_H378,51.0,female,CIMA_multiome,7293,21,4,4__female,valid,sealed_test,True
CIMA_H387,57.0,female,CIMA_multiome,6227,20,4,4__female,train,train,False
CIMA_H389,41.0,female,CIMA_multiome,7285,20,3,3__female,train,train,False
CIMA_H390,58.0,female,CIMA_multiome,6774,20,4,4__female,train,train,False
CIMA_H393,60.0,female,CIMA_multiome,8057,21,4,4__female,train,train,False
CIMA_H394,61.0,female,CIMA_multiome,4252,20,4,4__female,train,train,False
CIMA_H395,46.0,female,CIMA_multiome,7009,20,3,3__female,train,train,False
CIMA_H396,76.0,female,CIMA_multiome,4211,20,4,4__female,train,train,False
CIMA_H397,66.0,female,CIMA_multiome,4309,20,4,4__female,valid,sealed_test,True
CIMA_H399,77.0,female,CIMA_multiome,6030,20,4,4__female,train,validation,False
CIMA_H401,41.0,female,CIMA_multiome,5307,21,3,3__female,train,train,False
CIMA_H402,63.0,female,CIMA_multiome,4619,19,4,4__female,valid,sealed_test,True
CIMA_H404,48.0,female,CIMA_multiome,6292,20,4,4__female,train,validation,False
CIMA_H406,58.0,female,CIMA_multiome,6670,21,4,4__female,valid,sealed_test,True
CIMA_H409,42.0,female,CIMA_multiome,4448,19,3,3__female,valid,sealed_test,True
CIMA_H411,70.0,female,CIMA_multiome,6269,20,4,4__female,train,train,False
CIMA_H413,48.0,female,CIMA_multiome,11199,20,4,4__female,valid,sealed_test,True
CIMA_H414,52.0,female,CIMA_multiome,10085,20,4,4__female,train,train,False
CIMA_H416,57.0,female,CIMA_multiome,8482,21,4,4__female,train,train,False
CIMA_H418,44.0,female,CIMA_multiome,9025,20,3,3__female,valid,sealed_test,True
CIMA_H419,48.0,female,CIMA_multiome,8064,21,4,4__female,train,train,False
CIMA_H420,56.0,female,CIMA_multiome,8897,20,4,4__female,train,train,False
CIMA_H422,56.0,female,CIMA_multiome,5940,20,4,4__female,train,train,False
CIMA_H426,71.0,female,CIMA_multiome,6753,21,4,4__female,valid,sealed_test,True
CIMA_H428,50.0,female,CIMA_multiome,6097,20,4,4__female,train,train,False
