sample_id,age_numeric,sex,dataset,n_cells,n_cell_types,age_bin,strat_age_sex,split,benchmark_split,sealed
CIMA_H149,25.0,male,CIMA_multiome,5341,21,0,0__male,valid,sealed_test,True
CIMA_H154,29.0,male,CIMA_multiome,7405,20,2,2__male,valid,sealed_test,True
CIMA_H155,34.0,male,CIMA_multiome,4969,19,3,3__male,train,train,False
CIMA_H156,34.0,male,CIMA_multiome,2147,19,3,3__male,train,train,False
CIMA_H157,65.0,male,CIMA_multiome,2305,19,4,4__male,train,train,False
CIMA_H158,31.0,male,CIMA_multiome,5684,20,2,2__male,train,train,False
CIMA_H162,27.0,male,CIMA_multiome,5434,21,1,1__male,train,train,False
CIMA_H163,32.0,male,CIMA_multiome,8121,21,2,2__male,train,train,False
CIMA_H164,31.0,male,CIMA_multiome,6635,20,2,2__male,train,train,False
CIMA_H166,25.0,male,CIMA_multiome,8000,21,0,0__male,train,train,False
CIMA_H172,22.0,male,CIMA_multiome,5193,21,0,0__male,train,train,False
CIMA_H182,30.0,male,CIMA_multiome,5674,19,2,2__male,train,validation,False
CIMA_H183,36.0,male,CIMA_multiome,7940,19,3,3__male,train,train,False
CIMA_H184,49.0,male,CIMA_multiome,5811,21,4,4__male,valid,sealed_test,True
CIMA_H185,27.0,male,CIMA_multiome,6270,20,1,1__male,valid,sealed_test,True
CIMA_H186,25.0,male,CIMA_multiome,7174,20,0,0__male,valid,sealed_test,True
CIMA_H187,27.0,male,CIMA_multiome,7334,20,1,1__male,train,validation,False
CIMA_H188,24.0,male,CIMA_multiome,7621,19,0,0__male,train,train,False
CIMA_H189,69.0,male,CIMA_multiome,2179,21,4,4__male,train,validation,False
CIMA_H193,26.0,male,CIMA_multiome,9061,20,1,1__male,train,train,False
CIMA_H198,26.0,male,CIMA_multiome,5649,20,1,1__male,train,train,False
CIMA_H200,34.0,male,CIMA_multiome,6710,21,3,3__male,train,train,False
CIMA_H206,27.0,male,CIMA_multiome,9142,20,1,1__male,train,train,False
CIMA_H208,28.0,male,CIMA_multiome,6176,21,1,1__male,train,train,False
CIMA_H212,25.0,male,CIMA_multiome,8569,20,0,0__male,train,train,False
CIMA_H215,24.0,male,CIMA_multiome,6449,20,0,0__male,train,train,False
CIMA_H220,37.0,male,CIMA_multiome,5420,20,3,3__male,train,train,False
CIMA_H228,42.0,male,CIMA_multiome,7760,20,3,3__male,train,train,False
CIMA_H230,33.0,male,CIMA_multiome,5924,20,2,2__male,valid,sealed_test,True
CIMA_H231,22.0,male,CIMA_multiome,9494,20,0,0__male,train,validation,False
CIMA_H233,26.0,male,CIMA_multiome,10802,20,1,1__male,train,train,False
CIMA_H234,26.0,male,CIMA_multiome,9362,20,1,1__male,train,train,False
CIMA_H236,25.0,male,CIMA_multiome,6720,19,0,0__male,train,train,False
CIMA_H244,24.0,male,CIMA_multiome,8277,20,0,0__male,valid,sealed_test,True
CIMA_H247,27.0,male,CIMA_multiome,9292,20,1,1__male,train,train,False
CIMA_H249,25.0,male,CIMA_multiome,8574,20,0,0__male,train,train,False
CIMA_H252,40.0,male,CIMA_multiome,2625,20,3,3__male,train,validation,False
CIMA_H259,21.0,male,CIMA_multiome,4254,20,0,0__male,train,train,False
CIMA_H260,26.0,male,CIMA_multiome,3657,21,1,1__male,train,train,False
CIMA_H262,24.0,male,CIMA_multiome,4898,19,0,0__male,valid,sealed_test,True
CIMA_H263,26.0,male,CIMA_multiome,5714,21,1,1__male,train,train,False
CIMA_H264,25.0,male,CIMA_multiome,5342,21,0,0__male,valid,sealed_test,True
CIMA_H267,25.0,male,CIMA_multiome,6548,20,0,0__male,train,train,False
CIMA_H270,29.0,male,CIMA_multiome,2630,21,2,2__male,train,train,False
CIMA_H273,23.0,male,CIMA_multiome,7417,21,0,0__male,valid,sealed_test,True
CIMA_H281,26.0,male,CIMA_multiome,6551,20,1,1__male,train,train,False
CIMA_H286,34.0,male,CIMA_multiome,517,19,3,3__male,train,train,False
CIMA_H287,33.0,male,CIMA_multiome,7380,20,2,2__male,train,train,False
CIMA_H288,25.0,male,CIMA_multiome,4562,20,0,0__male,train,train,False
CIMA_H289,42.0,male,CIMA_multiome,4065,20,3,3__male,train,train,False
CIMA_H290,57.0,male,CIMA_multiome,3856,20,4,4__male,valid,sealed_test,True
CIMA_H294,27.0,male,CIMA_multiome,4341,20,1,1__male,train,train,False
CIMA_H303,24.0,male,CIMA_multiome,5643,20,0,0__male,train,validation,False
CIMA_H305,26.0,male,CIMA_multiome,3703,20,1,1__male,train,train,False
CIMA_H308,24.0,male,CIMA_multiome,4610,20,0,0__male,train,train,False
CIMA_H313,29.0,male,CIMA_multiome,7105,21,2,2__male,train,train,False
CIMA_H316,29.0,male,CIMA_multiome,5456,20,2,2__male,train,train,False
CIMA_H318,29.0,male,CIMA_multiome,4756,21,2,2__male,train,train,False
CIMA_H319,33.0,male,CIMA_multiome,5075,19,2,2__male,train,validation,False
CIMA_H320,24.0,male,CIMA_multiome,3496,19,0,0__male,train,train,False
CIMA_H321,30.0,male,CIMA_multiome,6126,20,2,2__male,train,train,False
CIMA_H322,27.0,male,CIMA_multiome,5301,19,1,1__male,train,train,False
CIMA_H323,34.0,male,CIMA_multiome,6066,21,3,3__male,train,train,False
CIMA_H324,27.0,male,CIMA_multiome,5740,20,1,1__male,train,train,False
CIMA_H325,30.0,male,CIMA_multiome,7230,20,2,2__male,train,train,False
CIMA_H326,29.0,male,CIMA_multiome,4810,20,2,2__male,train,train,False
CIMA_H327,36.0,male,CIMA_multiome,5146,20,3,3__male,train,train,False
CIMA_H328,33.0,male,CIMA_multiome,7242,20,2,2__male,train,train,False
CIMA_H332,27.0,male,CIMA_multiome,6802,21,1,1__male,train,train,False
CIMA_H333,24.0,male,CIMA_multiome,7585,21,0,0__male,train,train,False
CIMA_H334,30.0,male,CIMA_multiome,7331,20,2,2__male,train,train,False
CIMA_H338,27.0,male,CIMA_multiome,6754,20,1,1__male,valid,sealed_test,True
CIMA_H344,27.0,male,CIMA_multiome,8808,21,1,1__male,train,train,False
CIMA_H345,37.0,male,CIMA_multiome,6263,21,3,3__male,valid,sealed_test,True
CIMA_H347,37.0,male,CIMA_multiome,3641,20,3,3__male,train,train,False
CIMA_H348,33.0,male,CIMA_multiome,4972,21,2,2__male,train,train,False
CIMA_H350,22.0,male,CIMA_multiome,4394,20,0,0__male,train,train,False
CIMA_H351,33.0,male,CIMA_multiome,4862,21,2,2__male,train,train,False
CIMA_H352,27.0,male,CIMA_multiome,4969,21,1,1__male,train,train,False
CIMA_H359,26.0,male,CIMA_multiome,4571,21,1,1__male,train,train,False
CIMA_H363,63.0,male,CIMA_multiome,7471,20,4,4__male,train,train,False
CIMA_H368,43.0,male,CIMA_multiome,8478,19,3,3__male,train,train,False
CIMA_H372,40.0,male,CIMA_multiome,6807,21,3,3__male,valid,sealed_test,True
CIMA_H375,40.0,male,CIMA_multiome,4799,20,3,3__male,train,validation,False
CIMA_H376,59.0,male,CIMA_multiome,5796,20,4,4__male,valid,sealed_test,True
CIMA_H379,54.0,male,CIMA_multiome,7453,19,4,4__male,train,train,False
CIMA_H380,47.0,male,CIMA_multiome,1262,20,4,4__male,valid,sealed_test,True
CIMA_H381,47.0,male,CIMA_multiome,8859,20,4,4__male,train,train,False
CIMA_H382,41.0,male,CIMA_multiome,7725,21,3,3__male,train,train,False
CIMA_H383,44.0,male,CIMA_multiome,9302,21,3,3__male,train,train,False
CIMA_H384,41.0,male,CIMA_multiome,8011,21,3,3__male,train,train,False
CIMA_H385,49.0,male,CIMA_multiome,7407,21,4,4__male,train,train,False
CIMA_H386,62.0,male,CIMA_multiome,1971,19,4,4__male,valid,sealed_test,True
CIMA_H388,47.0,male,CIMA_multiome,8140,20,4,4__male,train,train,False
CIMA_H391,43.0,male,CIMA_multiome,5697,20,3,3__male,train,train,False
CIMA_H392,68.0,male,CIMA_multiome,6026,21,4,4__male,train,train,False
CIMA_H398,59.0,male,CIMA_multiome,4969,20,4,4__male,train,train,False
CIMA_H400,62.0,male,CIMA_multiome,5332,21,4,4__male,train,train,False
CIMA_H403,57.0,male,CIMA_multiome,5048,20,4,4__male,train,train,False
CIMA_H405,61.0,male,CIMA_multiome,6711,20,4,4__male,train,train,False
CIMA_H407,41.0,male,CIMA_multiome,6018,20,3,3__male,train,train,False
CIMA_H408,41.0,male,CIMA_multiome,7157,20,3,3__male,train,train,False
CIMA_H410,42.0,male,CIMA_multiome,6208,20,3,3__male,train,train,False
CIMA_H412,59.0,male,CIMA_multiome,7332,20,4,4__male,train,train,False
CIMA_H415,45.0,male,CIMA_multiome,8626,21,3,3__male,valid,sealed_test,True
CIMA_H417,50.0,male,CIMA_multiome,6534,20,4,4__male,train,validation,False
CIMA_H421,67.0,male,CIMA_multiome,6445,21,4,4__male,train,train,False
CIMA_H423,67.0,male,CIMA_multiome,7304,19,4,4__male,valid,sealed_test,True
CIMA_H424,59.0,male,CIMA_multiome,6578,20,4,4__male,valid,sealed_test,True
CIMA_H425,54.0,male,CIMA_multiome,6566,21,4,4__male,train,train,False
CIMA_H427,72.0,male,CIMA_multiome,5003,21,4,4__male,train,train,False
